Nama Gambar,Area,Perimeter,Circularity
863.jpg,7958.00,1614.24,0.038
865.jpg,30876.00,704.00,0.783
868.jpg,15473.00,1973.67,0.050
871.jpg,89401.00,1196.00,0.785
872.jpg,45414.00,870.00,0.754
876.jpg,28497.00,676.00,0.784
878.jpg,7660.50,624.68,0.247
881.jpg,36792.00,774.00,0.772
883.jpg,17478.50,873.13,0.288
884.jpg,89401.00,1196.00,0.785
885.jpg,61763.00,2649.96,0.111
886.jpg,43497.00,844.00,0.767
887.jpg,18909.50,2295.21,0.045
890.jpg,25032.00,1755.95,0.102
892.jpg,3153.50,998.13,0.040
894.jpg,15243.00,1710.73,0.065
895.jpg,31200.00,710.00,0.778
896.jpg,34720.00,754.00,0.767
902.jpg,9648.00,762.98,0.208
904.jpg,34741.50,1885.41,0.123
906.jpg,33425.00,732.00,0.784
91.jpg,31862.00,714.00,0.785
911.jpg,61124.00,2037.37,0.185
912.jpg,39201.00,796.00,0.777
916.jpg,40655.00,816.00,0.767
917.jpg,34254.00,742.00,0.782
924.jpg,8127.50,1744.08,0.034
928.jpg,43350.00,850.00,0.754
929.jpg,17117.00,986.92,0.221
93.jpg,4693.50,784.48,0.096
931.jpg,15437.00,1105.58,0.159
934.jpg,14302.50,1331.24,0.101
936.jpg,29600.00,690.00,0.781
942.jpg,10050.00,973.52,0.133
943.jpg,44376.00,860.00,0.754
947.jpg,3689.50,597.71,0.130
948.jpg,9439.00,1102.43,0.098
949.jpg,29829.00,2727.42,0.050
950.jpg,12342.00,1041.41,0.143
952.jpg,19383.00,1195.48,0.170
955.jpg,1532.00,252.45,0.302
956.jpg,34454.00,750.00,0.770
959.jpg,50784.00,920.00,0.754
960.jpg,36012.00,2257.24,0.089
964.jpg,30668.00,702.00,0.782
965.jpg,4684.50,781.88,0.096
966.jpg,10014.00,1551.82,0.052
967.jpg,7490.50,568.60,0.291
970.jpg,26475.00,2917.63,0.039
971.jpg,11725.50,1515.33,0.064
972.jpg,4390.50,959.54,0.060
976.jpg,25353.00,1004.84,0.316
980.jpg,33578.00,738.00,0.775
983.jpg,37925.00,780.00,0.783
984.jpg,63664.00,1060.00,0.712
985.jpg,43587.00,1943.77,0.145
987.jpg,38870.00,798.00,0.767
988.jpg,28536.00,676.00,0.785
994.jpg,36186.00,770.00,0.767
997.jpg,64909.00,1358.68,0.442
999.jpg,28730.00,678.00,0.785
